"id","brand","company","overall_grade","color_grade","statement","grade_policies","grade_wage","grade_rights","grade_workers","grade_environment","grade_climate"
"557","Wallis","Boohoo","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"558","Warehouse","Boohoo","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"559","Warner's","PVH Corp","43","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"560","Warrior","New Balance","52","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Good Progress","Good Progress","Limited Progress","Some Progress"
"561","Weekday","H&M","56","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Good Progress"
"562","West Bay","ALDI Stores","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"563","Wide Steps","WM Ritchie","2","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"564","Wild Meadow","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"565","Williams","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"566","Windsor Smith","Windsor Smith","0","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"567","Witchery","Country Road Group","53","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Some Progress"
"568","Wittner","Wittner","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Good Progress","No Evidence"
"569","Wolverine","Wolverine Worldwide","14","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"570","Wonderbra","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"571","Wood Paper Company","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"572","Workzone","ALDI Stores","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"573","Yarra Trail","The PAS Group Limited","20","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"574","yd.","Retail Apparel Group","35","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Good Progress","Some Progress","Limited Progress","No Evidence"
"575","You + All","Ally Fashion","7","1","This is higher than the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"576","Zara","Inditex","60","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"577","Zara Home","Inditex","60","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"578","Ziera","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"579","Zimmermann","Zimmermann","38","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Good Progress"
